,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0,0.21575764,0.47018176,0.18690379,0.12500349,0.04220868,0.0029352268,0.18228373,0.2585481,0.18869917,0.18869917,0.07888888,0.07077487,0.45895106,0.14910853,0.1903199,0.14910853,0.14910853,1.0789238e-06,0.080991566,0.469948,0.0010459671,0.45378223,0.42668548,0.47018176,0.47018176,0.38443178,0.0012444344,0.081227735,0.0002948974,0.45436245,0.41941842,0.43429667,0.44152716,0.47018176,0.42242578,0.129321,0.42116892,1.0993671e-06,1.0789238e-06
1,0.21575764,0.0,0.26709864,0.07523949,0.086477965,0.027282229,0.0017470528,0.077269815,0.13967663,0.076738216,0.076738216,0.0326056,0.02888908,0.26120874,0.108562715,0.10538594,0.108562715,0.108562715,6.560054e-07,0.02243115,0.2669168,0.00062265375,0.23879032,0.21538284,0.26709864,0.26709864,0.2113746,0.00074527727,0.05175662,0.00017406048,0.23966555,0.220319,0.22032443,0.22498621,0.26709864,0.22047718,0.09060569,0.2205846,6.685021e-07,6.560054e-07
2,0.47018176,0.26709864,0.0,0.44023764,0.12091262,0.038709927,0.0026428977,0.33608073,0.5147517,0.44554144,0.44554144,0.12914929,0.112970024,0.7885741,0.1499042,0.34047234,0.1499042,0.1499042,9.774081e-07,0.23262271,0.99668634,0.00095287396,0.809998,0.7033813,1.0,1.0,0.41256335,0.0011309641,0.0745565,0.00027190207,0.81507474,0.5334985,0.6287071,0.67948884,1.0,0.54472697,0.12618965,0.53740513,9.958671e-07,9.774081e-07
3,0.18690379,0.07523949,0.44023764,0.0,0.04208943,0.009767424,0.0019321336,0.37154254,0.5090945,0.52086467,0.52086467,0.12374766,0.11408661,0.24405164,0.051697463,0.24668829,0.051697463,0.051697463,3.7409126e-07,0.23466843,0.43856874,0.0004032254,0.35513893,0.39733413,0.44023764,0.44023764,0.1585942,0.00046154918,0.027117789,0.00010508484,0.35662404,0.21850973,0.26699322,0.28617293,0.44023764,0.2245206,0.043462276,0.2206195,3.8113794e-07,3.7409126e-07
4,0.12500349,0.086477965,0.12091262,0.04208943,0.0,0.017071888,0.0011803176,0.04656987,0.071401715,0.042861428,0.042861428,0.021122953,0.018635996,0.12741688,0.0584651,0.057340503,0.0584651,0.0584651,4.3617362e-07,0.013969362,0.12098817,0.00041859093,0.12240201,0.11913094,0.12091262,0.12091262,0.12408624,0.0004993516,0.032300096,0.00011686544,0.122409254,0.12659337,0.12467269,0.12426184,0.12091262,0.12657125,0.050876595,0.12671603,4.4447347e-07,4.3617362e-07
5,0.04220867,0.027282229,0.038709927,0.009767424,0.017071888,0.0,0.0003575193,0.011122016,0.021740949,0.009924052,0.009924052,0.005979084,0.0047679357,0.041080568,0.019864095,0.019780463,0.019864095,0.019864095,1.8190764e-07,0.003542818,0.038746327,0.00016244207,0.040277824,0.039828647,0.038709927,0.038709927,0.042070895,0.0001954261,0.011582047,4.7529622e-05,0.040250592,0.042601503,0.041801676,0.041482035,0.038709927,0.042593066,0.017573932,0.042652544,1.8535938e-07,1.8190764e-07
6,0.0029352268,0.0017470529,0.0026428977,0.0019321336,0.0011803176,0.0003575193,0.0,0.0022069737,0.0020658153,0.0019638296,0.0019638296,0.0009819869,0.0009665329,0.002992911,0.0013697196,0.0013788886,0.0013697196,0.0013697196,1.7360454e-08,0.0007229495,0.002645682,1.6264366e-05,0.002773103,0.0026955064,0.0026428977,0.0026428977,0.0029301236,1.8616596e-05,0.0008360827,4.4232183e-06,0.0027736023,0.0029580048,0.002898495,0.002872437,0.0026428977,0.0029548109,0.0012099424,0.0029592873,1.7686164e-08,1.7360454e-08
7,0.18228373,0.077269815,0.33608076,0.37154254,0.046569873,0.011122016,0.0022069737,0.0,0.36995712,0.37836215,0.37836215,0.10257035,0.09665946,0.22897947,0.056087956,0.17687096,0.056087956,0.056087956,4.172499e-07,0.16033301,0.33519852,0.0004564575,0.290808,0.3112332,0.33608076,0.33608076,0.16412862,0.0005221326,0.030708373,0.00011804069,0.29196623,0.20709765,0.2387991,0.2503634,0.33608076,0.21106304,0.0478752,0.20843537,4.2512917e-07,4.172499e-07
8,0.2585481,0.13967665,0.5147517,0.5090945,0.071401715,0.021740949,0.0020658153,0.3699571,0.0,0.51950884,0.51950884,0.1261732,0.11391037,0.32170787,0.08683138,0.28118658,0.08683138,0.08683138,6.144231e-07,0.23431364,0.513104,0.00060660404,0.4273268,0.46405247,0.5147517,0.5147517,0.23033498,0.0007146818,0.04542519,0.00016869754,0.42883307,0.29156086,0.33883318,0.35855064,0.5147517,0.29756,0.07386085,0.2937667,6.2604533e-07,6.144231e-07
9,0.18869917,0.076738216,0.44554144,0.52086467,0.042861428,0.009924052,0.0019638296,0.37836215,0.51950884,0.0,0.53255755,0.12361693,0.113910265,0.24842945,0.05267681,0.24703714,0.05267681,0.05267681,3.7877308e-07,0.23431355,0.44384748,0.00040836065,0.35905957,0.40060622,0.44554144,0.44554144,0.16072153,0.00046730353,0.027578758,0.00010603112,0.36067885,0.22111078,0.2699042,0.28927696,0.44554144,0.22706756,0.04427157,0.22313146,3.85909e-07,3.7877308e-07
